nct_id,title,conditions,phase,modality
NCT06997146,Identifying Biomarkers & Dysregulated Biological Pathways in Blood and Urine of Congenital Central Hypoventilation Syndrome (CCHS) Patients,Congenital Central Hypoventilation Syndrome (CCHS),NA,biologic
NCT04867837,"Study of Four-factor Prothrombin Complex Concentrate, OCTAPLEX, in Patients With Acute Major Bleeding on Direct Oral Anticoagulant (DOAC) Therapy With Factor Xa Inhibitor",Acute Major Bleeding,PHASE3,small_molecule
NCT05497401,A Controlled Study to Evaluate the Efficacy of Allogeneic MesenCure for the Treatment of Patients With ARDS,ARDS,PHASE3,biologic
NCT07035301,A Study on the Safety and Feasibility of Using Low-dose Muscle Relaxants in Bronchoscopy Interventional Surgery,Disease of Respiratory System,NA,small_molecule
NCT06902428,"A Multi-center, Randomised, Double-blind, Placebo-controlled Phase II Clinical Study Evaluating the Efficacy and Safety of HSK44459 Tablets in Patients With Behçet's Disease",Behcet&#39;s Disease,PHASE2,small_molecule
NCT06317220,Vedolizumab for the Treatment of Collagenous Gastritis,Collagenous Gastritis,PHASE2,biologic
NCT07236476,"A Multicentre, Open-label, Dose-finding, Phase 2 Study to Investigate the Efficacy, and Safety of Different Doses of LY01021 in Controlled Ovarian Hyperstimulation(COH) for Female Subjects Undergoing Assisted Reproductive Technology (ART)",Assisted Reproduction,PHASE2,small_molecule
NCT07066735,Comparison of the Efficacy and Safety of Combined Extracorporeal Shock- Wave Therapy (ESWT) With Phytotherapy Versus Each of Them Alone in Chronic Prostatitis Category ⅢB,Chronic Prostatitis (CP),NA,small_molecule
NCT06115551,"Cellular Effects of Fasting Mimicking Diet In Humans: An Interventional, Randomized, Open Label, Parallel Assignment Study",Diet | Autophagy,NA,combination
NCT05790720,Development of a Pharmacodynamic Model for Propofol in Older Adults (Development phaRmacodynamic mOdel Propofol oLdEr adulTs: DROPLET),Aged,NA,small_molecule
NCT06252025,The Effect of an Immersive VR Reminiscence System for Facilitating Memory Retrieval Among Nursing Home Older Adults,"Memory, Repressed | Emotional Regulation | Old Age",NA,combination
NCT06685978,"A Randomized, Double-blind, Placebo-controlled, Multi-center Phase III Clinical Trial of Efficacy and Safety of Xiangjurupining Capsule in the Treatment of Hyperplasia of Mammary Glands(Syndrome of Stagnation of Liver-qi and Phlegm)",Hyperplasia of Mammary Glands,PHASE3,small_molecule
NCT06493799,"A Multicenter, Randomized, Open-label, Active-controlled, Phase 3 Study to Evaluate the Efficacy and Safety of Intravenous Drop of 'LAENNEC INJ. (Human Placenta Hydrolysate) Compared With Subcutaneous Injection in Patients With Chronic Liver Disease",Chronic Liver Disease,PHASE3,small_molecule
NCT07010302,"A Comparative Clinical Effectiveness Trial of Rituximab Versus Ravulizumab, Inebilizumab, Satralizumab and Eculizumab To Prevent Relapses in Neuromyelitis Optica Spectrum Disorder",NMOSD,PHASE4,monoclonal_antibody
NCT07270549,"GAIN-CTNNB1: A Phase I/II Open-Label Trial To Evaluate the Safety, Tolerability, and Preliminary Efficacy of Intracerebroventricular Administration of an AAV9 Based Gene Replacement Therapy in Paediatric Patients With CTNNB1 Neurodevelopmental Syndrome",CTNNB1 Neurodevelopmental Syndrome,PHASE1,small_molecule
NCT05671991,Effect of Empagliflozin on Peritoneal and Kidney Function in End Stage Renal Disease,End Stage Renal Disease on Dialysis,PHASE4,small_molecule
NCT06351215,Use of Single-Dose Oral Methadone for Pain Management in Outpatient Arthroscopic Hip and Knee Procedures,Arthroscopic Knee Repair | Arthroscopic Hip Repair,PHASE3,small_molecule
NCT05721404,Icodextrin Postpones the Shift of Low Dose to Full Dose Dialysis in the First Year of Incremental Peritoneal Dialysis: A Randomized Controlled Trial,Peritoneal Dialysis,PHASE4,small_molecule
NCT06261684,Intralesional Acyclovir Versus Cryotherapy in the Treatment of Plantar Warts. A Randomized Controlled Trial.,Plantar Wart,PHASE2,small_molecule
NCT06811675,The Efficacy of Dexamethasone in Combination With N-acetylcysteine in Preventing Neurocognitive Sequelae Due to Carbon Monoxide Poisoning,Carbon Monoxide Poisoning | Delayed Neurocognitive Sequelae,PHASE4,small_molecule
NCT05868369,The Effectiveness of Immersive Virtual Reality as a Pain Control Modality After Hip Arthroscopy,Hip Pain Chronic,NA,small_molecule
NCT06959771,Base Editing Hematopoietic Stem Cell and BE T Cell Gene Therapy for CD40L-HyperIgM Syndrome-Single Patient Study,CD40L-HyperIgM Syndrome,PHASE1,monoclonal_antibody
NCT06412666,"A Phase 2/3 Multicenter, Randomized, Double-Blind, Placebo-Controlled and Open-Label Extension Trial to Evaluate the Efficacy and Safety of Aficamten in a Pediatric Population With Symptomatic Obstructive Hypertrophic Cardiomyopathy",Pediatric | Symptomatic Obstructive Hypertrophic Cardiomyopathy,PHASE2,small_molecule
NCT04047576,Prospective Study of Prednisone Versus Sirolimus in the Treatment of Idiopathic Retroperitoneal Fibrosis,Retroperitoneal Fibrosis,PHASE2,small_molecule
NCT07229456,Evaluation of the Role of N Acetyl Cysteine and Vitamin D in Improving Outcomes After Corrosive Ingestion,Corrosive Injury,PHASE3,small_molecule
NCT06410443,Efficacy and Safety of Local Glucocorticoids for the Treatment of Acute Radiation-Induced Intestinal Injury: A Randomized Controlled Trial,Radiation-Induced Intestinal Injury,NA,small_molecule
NCT07084402,Short-term Bactericidal Effect of Contezolid in Mycobacterium Avium Complex Pulmonary Disease,Mycobacterium Avium Complex Pulmonary Disease,PHASE4,small_molecule
NCT05874310,"An Open-label, Single-center, Dose-escalation Clinical Study to Evaluate the Safety, Tolerability, and Preliminary Efficacy of Intraocular Administration of FT-002 in Subjects With RPGR Mutation-associated X-linked Retinitis Pigmentosa.",X-Linked Retinitis Pigmentosa,EARLY_PHASE1,gene_therapy
NCT06276179,Epidural Oxycodone for Pain Management for Lower Limb Amputation: A Randomized Controlled Trial,Epidural | Oxycodone | Pain | Lower Limb Amputation,NA,small_molecule
NCT06753890,"A Randomized, Double-blind, Placebo-controlled, Multicenter Phase III Clinical Trial, Efficacy and Safety Study of Changkang Granules in the Treatment of Irritable Bowel Syndrome With Predominant Diarrhea ( Liver qi Affecting the Spleen Pattern)",Diarrhea-predominant Irritable Boewl Syndrome,PHASE3,small_molecule
NCT06686693,Intravenous Iron Prophylaxis for Rapid High Altitude Insertions,Hypoxia,PHASE4,small_molecule
NCT06201676,Low-Dose Short-Term Ketorolac to Reduce Chronic Opioid Use in Orthopaedic Polytrauma Patients,Orthopaedic Polytrauma | Chronic Opioid Use,PHASE4,small_molecule
NCT06261060,Low-Dose Sirolimus to Increase Hematopoietic Function in Patients With RUNX1 Familial Platelet Disorder,Familial Platelet Disorder | Hematopoietic,PHASE2,small_molecule
NCT06355960,Effect of Different Does of Dexmedetomidine on Oxygenation and Lung Mechanics,Drug Use | Dexmedetomidine,NA,small_molecule
NCT06627218,Liberal or Adhere to Recommendations for Prothrombin Complex Concentrate Management in Major Bleeding Following Trauma：A Multicenter Retrospective Study,Traumatic Bleeding,NA,small_molecule
NCT07148960,Does Staphylococcus Aureus Bacteremia Early Dual Therapy Improve Outcomes? (SABEDTIO) Clinical Trial,Staphylococcus Aureus Bacteremia,PHASE4,small_molecule
NCT06884813,"Clinical Evaluation of a Single-Shade, Color-Adjusting Composite Resin Following In-Office Dental Bleaching: A Randomized Clinical Trial",Composite Resins,NA,small_molecule
NCT06861738,Comaring the Effect of Paracetamol in Tratment of Headach,Headache,PHASE3,small_molecule
NCT06653842,"A Phase 2, Baseline-Controlled Study Evaluating the Safety and Efficacy of PTX-022 (Sirolimus) Topical Gel 3.9% in the Treatment of Cutaneous Venous Malformations",Cutaneous Venous Malformations,PHASE2,small_molecule
NCT03977493,"IncobotulinumtoxinA (Xeomin) to Treat Focal Hand Dystonia: a Double-blind Placebo-controlled Randomized Multicenter Study: The ""SwissHandSpasm"" Study",Focal Hand Dystonia,PHASE3,small_molecule
NCT06696261,"A Multicenter, Randomized, Double-blind, Placebo Parallel-controlled Phase III Clinical Trial on the Efficacy and Safety of Lianxiaxiaopi Granules in the Treatment of Postprandial Distress Syndrome (Intermingled Cold and Heat).",Postprandial Distress Syndrome,PHASE3,small_molecule
NCT06903975,The Effect of Injection of prabotulinumtoxinA-xvfs (Jeuveau) Into the Bilateral Sternocleidomastoid Muscles on Neck Circumference and Aesthetics,Neck Muscle Issue,PHASE4,small_molecule
NCT07029412,"A Phase 2a, Open-label, Exploratory Study to Evaluate Preliminary Efficacy of Subcutaneous MBX 1416 in Patients With Postbariatric Hypoglycemia (The STEADI Study)",Postbariatric Hypoglycemia,PHASE2,small_molecule
NCT03513770,Autonomic Control of the Circulation and the Venous Distension Reflex,Venous Distension Reflex | Blood Pressure,EARLY_PHASE1,small_molecule
NCT06759454,Comparison of Mean Pain Score Using LASER Therapy and Desensitizing Agents in Patients With Dentinal Hypersensitivity: A Randomized Controlled Trial,Dentinal Hypersensitivity,NA,small_molecule
NCT05302986,"Benefits on Post-operative Pain of Intravenous, Intraoperative, Tranexamic Acid Injection During Arthroscopic Shoulder Surgery.",Shoulder Disease,PHASE3,small_molecule
NCT07061678,The Effect of Dexamethasone Administration Route in Infraclavicular Brachial Plexus Block for Pediatric Arm and/or Hand Surgery,Arm,PHASE4,small_molecule
NCT04738422,Determining Airway pH by Compartmental Exhaled Nitric Oxide Levels During Alkaline Buffer Challenge,Airway Disease,PHASE2,small_molecule
NCT06919575,A Individualized Physical Function Improvement Program for Frailty Elderly Using Goal Attainment Scaling (GAS) as Evaluation Method: Protocol for a Randomized Controlled Trial,Elderly,NA,combination
NCT06516939,The Application of Bovine Basic Fibroblast Growth Factor Gel in the Treatment of Sensitive Skin,Sensitive Skin,NA,small_molecule
NCT06979791,Comparison Between the Effects of Adding Intranasal Dexmedetomidine to Two Different Doses of Midazolam as a Premedication in Pediatrics Undergoing Elective Surgery: A Randomized Controlled Trial,Preoperative Anxiety Experienced by the Pediatric Patient | Preoperative Anxiety,PHASE2,small_molecule
NCT06185829,Evaluating the Benefit of Hypnoanalgesia Versus Neuroleptanalgesia During Hand Surgery,Hand Surgery,NA,small_molecule
NCT06642753,Buccal Plate Augmentation Using Sticky Bone Versus Usage of Sticky Bone as a Jumping Gap Filling Material With Simultaneous Immediate Implant Placement in the Maxillary Esthetic Zone :A Randomized Controlled Clinical Trial,Immediate Implant,NA,biologic
NCT06931223,Efficacy of Gut-rain Neuromodulators in the Treatment of Functional Dyspepsia: a Randomized Controlled Study,Functioanl Dyspepsia,NA,small_molecule
NCT06978777,Effect of Caffeine on Cold-stimulated Brown Adipose Tissue Activity,Brown Adipose Tissue (BAT) Physiology | Cold Exposure,NA,small_molecule
NCT04441034,Integrating Pragmatic Comparative Effectiveness Research Into a Tertiary Pain Management Center,Chronic Pain,PHASE4,small_molecule
NCT07191457,"In Vivo Testing: A Two-Arm, Randomized, Controlled, Investigator/Assessor-Blinded, Comparative Study to Evaluate the Safety and Efficacy of a Head Lice Physically Acting Product: ELIMAX GREEN LOTION EMOGREEN (X92001752) vs Walgreens Lice Killing Shampoo (Piperonyl Butoxide (4%),Pyrethrum Extract (Equivalent to 0.33% Pyrethrins)) in Subjects With Head Lice.",Head Lice,NA,small_molecule
NCT03696953,The Efficacy of Probiotics to Reduce Antepartum Group B Streptococcus Colonization,Group B Streptococcus Carrier in Childbirth | Gastrointestinal Symptoms,PHASE2,biologic
NCT04999631,Neoadjuvant Squaric Acid Dibutylester Treatment of Melanocytes in Congenital Melanocytic Nevi,Congenital Melanocytic Nevus,EARLY_PHASE1,small_molecule
NCT05209841,Heparinization vs Salinization of the Peripheral Venous Catheter: a Randomized Clinical Trial,Catheter Complications,NA,small_molecule
NCT06656351,B-FREE Chronic Babesiosis Study: A Phase 2 Open Label Study of Tafenoquine for Treatment of Chronic Babesiosis Patients With Severe Fatigue,Chronic Babesiosis,PHASE2,small_molecule
NCT07118644,Microbiote's Evolution After Use of Nitrous Oxide on Pediatric Patient Needing Airway Samples,Respiratory Ilness | Children,PHASE3,small_molecule
NCT03984565,PAIN: a Project Assessing the Impact of a Novel Cannabinoid Product,Chronic Pain,PHASE2,small_molecule
NCT05928390,A Double-blind Randomized Placebo-controlled Dose-finding Phase II Study to Assess the Efficacy and Safety of Pasireotide s.c. in Patients With Post-Bariatric Hypoglycaemia,Post-Bariatric Hypoglycemia,PHASE2,small_molecule
NCT07378605,Effect of Intraoperative Salbutamol Administration on Mechanical Power and Respiratory Mechanics in Obese Patients Undergoing Laparoscopic Bariatric Surgery,Bariatric Surgery,NA,small_molecule
NCT06560294,Glue Embolization Versus Conservative Treatment for Pelvic Congestion Syndrome: A Randomized Trial,Glue Embolization | Pelvic Congestion Syndrome,NA,small_molecule
NCT06464146,Pain Reduction for Limb Injuries in Pediatric Emergency Departments: A Randomised Clinical Trial Comparing Intranasal Fentanyl or Intranasal Ketamine to Oral Morphine,Limb Injury,PHASE3,small_molecule
NCT06892171,The Study of the Phenotype of Hereditary Xerocytosis,Xerocytosis | Phenotype | Genotype,NA,biologic
NCT06816407,"The Effect of Different Doses of Prucalopride on Improving Gut Function Recovery Following Elective Colorectal Surgery: a Randomized, Double-blind Study",Post-Op Complication,PHASE3,small_molecule
NCT07138391,The Efficacy of Chamomile Gummies on Dental Anxiety in Children A Randomized Clinical Trial,Dental Anxiety,PHASE2,small_molecule
NCT06657547,Urinary Concentration After Salmeterol in Well-trained Men and Females,Healthy,NA,small_molecule
NCT06251999,"Efficacy and Safety of Fospropofol Disodium Sedation for Same-day Bidirectional Endoscopy in Elderly Patients: a Prospective, Single-center, Randomized, Double-blind, Non-inferiority Trial",Elderly Patients,PHASE4,small_molecule
NCT04949633,Oxytocine Versus Prostaglandines Pour le déclenchement du Travail Des Femmes Dont le Col Est défavorable après 24 Heures de Maturation Cervicale : Essai Multicentrique randomisé de Non infériorité,Cervical Ripening | Unfavorable Cervix,PHASE3,biologic
NCT06247046,"A Multicenter, Randomized, Double-blind, Placebo Controlled, Phase 3 Study to Evaluate the Efficacy and Safety of Live SK08 Powder (Bacteroidetes Fragilis) in the Treatment of Patients With Irritable Bowel Syndrome With Diarrhea (IBS-D)",Irritable Bowel Syndrome With Diarrhea,PHASE3,small_molecule
NCT07022366,Investigating the Neuropsychological Effects of 5-HT2a Antagonism,Healthy,NA,small_molecule
NCT06861478,In-Hospital Morbidity Associated With Proton Pump Inhibitors in Acute Variceal Bleeding and Chronic Liver Disease Treatment,Morbidity,PHASE2,small_molecule
NCT06277505,Efficacy and Safety Evaluation of Prebiotics Combined With Quadruple Probiotics in Improving Functional Constipation: a Prospective Randomized Controlled Open-label Study,Functional Constipation,NA,combination
NCT07317856,Efficacy of Microneedling With Hyaluronic Acid Injection for Gingival Augmentation in Thin Gingival Phenotype: A Split- Mouth Randomized Clinical Trial,Thin Gingival Biotype,NA,combination
NCT06539494,Luminal Fructose Kinetics (MARTINI) (2024),MASLD,PHASE2,small_molecule
NCT05176379,Endothelial Derived Hyperpolarization Factor and Regulation of Cerebral and Muscle Blood Flow,Healthy,PHASE4,small_molecule
NCT05878015,A Randomized Study Comparing Intravenous (IV) Acetaminophen to Usual Care for Pain Management for Small Bowel Obstruction - Feasibility Study,Small Bowel Obstruction,PHASE4,small_molecule
NCT06217861,"An Open-Label, Dose-Escalation and Dose-Expansion Phase I Clinical Study to Evaluate the Tolerability, Safety and Efficacy of VGM-R02b in Patients With Glutaric Acidemia Type I",Glutaric Acidemia Type I | Glutaric Aciduria Type I,PHASE1,biologic
NCT06654986,The Importance of Amino Acid Availability in Modulating the Muscle Anabolic Response to β2-adrenergic Stimulation.,Healthy,NA,small_molecule
NCT07300046,A Randomized Study to Assess the Tolerability Profile of Two Concentrations of Liquid Metformin (100 mg/mL and 250 mg/mL) Compared With Standard Metformin Tablets,Healthy Volunteers,PHASE1,small_molecule
NCT06465056,Use of Botulinum Toxin A in Direct Eyebrow Lift Scar: a Randomized Controlled Clinical Trial,Skin Scarring | Eyebrow Ptosis,PHASE2,small_molecule
NCT03128866,Reducing Blood Loss in Hemipelvectomy Surgery With the Use Tranexamic Acid (TXA),Pelvic Mass,EARLY_PHASE1,small_molecule
NCT06822088,Effects of Esketamine on Oxygenation and Quality of Recovery in Patients Undergoing Thoracoscopic Surgery,Esketamine | One-lung Ventilation | Oxygenation Indices,PHASE4,small_molecule
NCT06850454,"A Prospective Randomized, Double-blind Controlled Trial of Olanzapine Versus Placebo in Addition to Ondansetron Plus Dexamethasone As Antiemetic Prophylaxis in Patients Receiving Moderately Emetogenic Chemotherapy",Chemotherapy Induced Nausea and Vomiting,PHASE3,small_molecule
NCT06660329,Efficacy and Safety of Tofacitinib in Patients with Refractory Blau Syndrome: a Prospective Cohort Study,Blau Syndrome,PHASE4,small_molecule
NCT06926933,"An Open Label, Single-group, Multicenter Study on the Efficacy and Safety of Leuprolide Acetate 45 mg for Injectable Suspension-controlled Release in Subjects With Central (Gonadotropin-dependent) Precocious Puberty",CPP,PHASE4,small_molecule
NCT06783621,"US HARMONY in DIVERSITY: A Prospective, Open-label Study to Evaluate Subject Satisfaction With the Overall Face and Neck Appearance After Combined Treatment",Facial Contouring,PHASE4,small_molecule
NCT06091904,Effects of Sufentanil on the Intraoperative Hemodynamic Parameters in Patients Undergoing Extracranial-intracranial Bypass Surgery: a Prospective Randomized Controlled Trial,Intraoperative Hypotension,NA,small_molecule
NCT07116395,Outcomes of Tranexamic Acid With Anticoagulants in Orthopaedic Trauma Procedures: A Prospective Study,Patients Undergoing Operative Fixation of Long Bone Fractures Within the Community Medical Centers System,PHASE4,small_molecule
NCT06875752,"Is There a Need for Luteal Support in Modified Natural Cycle Frozen Embryo Transfer Cycles: a Prospective, Multicenter, Randomized Trial",Luteal Support | Frozen Embryo Transfer (FET),PHASE4,small_molecule
NCT05570708,The Role of Personal Experience for the Therapeutic Attitude in the Context of Substance-assisted Therapy Training,"Personal Experience of Substance-assisted Therapy Using Psilocybin, MDMA, and LSD",NA,small_molecule
NCT07235917,"A Phase 2, Double-Blind, Placebo-Controlled Study to Investigate the Safety and Efficacy of Mibavademab in Adult Women With Functional Hypothalamic Amenorrhea",Functional Hypothalamic Amenorrhea (FHA),PHASE2,small_molecule
NCT06737016,"Efficacy and Safety of Tamsulosin, a Selective Alpha-1 Adrenergic Blocker, for Children with Posterior Urethral Valve: a Randomized Controlled Trial",Posterior Urethral Valve,PHASE3,small_molecule
NCT07119918,"PCSK9 Inhibitor for Intracranial Atherosclerotic Symptomatic Stenosis (PICASSO): A Prospective, Multicenter, Randomized, Double-blind, Placebo-controlled Trial",Symptomatic Intracranial Atherosclerotic Stenosis,PHASE3,small_molecule
NCT04026776,"Uric Acid, Klotho and Salt Sensitivity in Young Adults Born Preterm",Salt; Excess | Blood Pressure Disorders,EARLY_PHASE1,small_molecule
NCT07042555,"Efficacy of Cognitive Behavior Therapy, Pelvic Floor Therapy and Pharmacotherapy in the Treatment of Chronic Pelvic Pain in Women: A Comparative Study",Chronic Pelvic Pain Syndrome,NA,small_molecule
NCT07130617,"A Phase Ib, Multicenter, Randomized, Double-blind, Placebo-controlled Parallel Group Clinical Study Evaluating the Efficacy and Safety of Megestrol Acetate Oral Suspension in Preventing Nausea and Vomiting Induced by Highly Emetogenic Chemotherapy",Efficacy | Safety | Megestrol Acetate | Adult Subject,PHASE1,small_molecule
NCT05816343,"Long Term Efficacy and Safety of Orlistat for Type 1 Hyperlipoproteinemia: a Randomized, Double-blind, Placebo-controlled Trial",Type 1 Hyperlipoprotenemia,PHASE2,small_molecule
NCT06735755,"A Phase 1/2, Dose-Exploration Study to Evaluate the Safety and Efficacy of BEAM-301 in Patients With Glycogen Storage Disease Type Ia (GSDIa) Homozygous or Compound Heterozygous for the G6PC1 c.247C>T (p.R83C) Variant",Glycogen Storage Disease Type Ia,PHASE1,small_molecule
NCT06948526,Clinical and Radiographic Evaluation of Moringa Oleifera Leaf Extract Versus Sodium Hypochlorite as Intracanal Irrigations in Pulpectomy of Nonvital Primary Molars: A Randomized Clinical Trial,Nonvital Primary Molars,NA,small_molecule
NCT07419815,"Intravenous Lidocaine Infusion Versus Placebo, for Post Operative Acute Pain Control in Patients Undergoing Staging Laparoscopy",Side Effects of Opoid Consumption,NA,small_molecule
NCT04769206,"Enhancing Parasympathetic Activity to Improve Endothelial Dysfunction, Vascular Oxidative Stress in African Americans",Endothelial Dysfunction,PHASE1,small_molecule
NCT06548334,The Effectiveness of Lumber Regression Technique on Disc Bulge Randomized Control Trial,Disc Disease,NA,combination
NCT07039578,"An Open-Label, Multi-Center, Phase II Clinical Study Evaluating the Efficacy and Safety of CM336 Injection in the Treatment of Relapsed or Refractory Primary Light-Chain Amyloidosis",Primary Light-Chain Amyloidosis,PHASE2,biologic
NCT04173949,Explorative Study for Treating Persistent Developmental Stuttering With Ramipril,Persistent Developmental Stuttering,PHASE3,small_molecule
NCT06513533,"Effect of Dimethyl Fumarate Administered to Patients With Adrenomyeloneuropathy: a Multicenter, Placebo Controlled, Phase IIb/III Trial",Adrenomyeloneuropathy Without Cerebral Involvement,PHASE2,small_molecule
NCT05206955,"A Phase III, Randomized, Double-Blind, Placebo-Controlled Study Evaluating the Efficacy of Tadalafil Versus Placebo in Improving Hemodynamics and End-Organ Dysfunction in Fontan Physiology (TRIUMPH Trial)",Fontan Palliation,PHASE3,small_molecule
NCT06697106,Can COX-2 Inhibitor Decrease Stricture Recurrence After Direct Vision Internal Urethrotomy?,COX-2 Inhibitor | Meloxicam | Stricture Recurrence | Direct Vision Internal Urethrotomy,NA,small_molecule
NCT07196618,Effect of Dimethyl Sulfoxide Pretreatment on Tensile Bond Strength and Nanoleakage of Resin Composite Bonded to Aged Dentin,Bonding,NA,small_molecule
NCT06723782,Surgical Release of Hand Tendons with Wrapping of the Released Tendon Using an Amniotic Membrane,Tendon Adhesion | Tenolysis,PHASE2,biologic
NCT04871269,The Effect of Dronabinol on the Acquisition and Consolidation of Trauma-Associated Memories,Intrusive Memories,NA,small_molecule
NCT06479655,Compare the Efficacy and Outcome Between Fentanyl and Morphine as Analgo-sedation in Mechanically Ventilated Patients,Effect of Drug,PHASE4,small_molecule
NCT07388810,Study of Different Doses of Ripertamab in Children With Frequent Relapses or Steroid-Dependent Nephrotic Syndrome：An Open-label Randomized Controlled Trial,FRNS/SDNS | Ripertamab,NA,small_molecule
NCT06414889,Protocol Title: Safety and Feasibility of Autologous CD34+ Hematopoietic Stem Cells Mobilization and Apheresis in Participants With RUNX1 Familial Platelet Disorder,RUNX1 Familial Platelet Disorder,PHASE1,small_molecule
NCT06819189,Role of Metal Ion Transporter ZIP8 in Alcohol Related Behaviors,Healthy Volunteer,PHASE1,small_molecule
NCT06099080,Open-Label Study of the Safety and Efficacy of SM-020 Gel 1.0% in Subjects With Dermatosis Papulosa Nigra,Dermatosis Papulosa Nigra,PHASE2,small_molecule
NCT06122389,"A Double-blinded, Randomized, Multi-center Phase III Clinical Study of SHR2554 Versus Chidamide in Patients With Relapsed/Refractory PTCL",Relapsed/Refractory PTCLT With at Least One Line of Prior Systemic Therapy,PHASE3,small_molecule
NCT06974123,A Phase I/II Clinical Study to Evaluate the Safety and Efficacy of Oral Teslanbaicin in Patients With Radiation Proctitis,Safety,PHASE1,small_molecule
NCT07213960,"A Sequential Phase 2/3, Single-Arm, Open-Label Study in Adults Followed by a Randomized, Placebo-Controlled, Double-Blind, Multicenter Study to Evaluate the Efficacy and Safety of APL2 in Adults and Adolescents With Focal Segmental Glomerulosclerosis",FSGS,PHASE2,small_molecule
NCT07275424,"Open-Label, Single-Arm Phase 2a Pilot Study to Evaluate the Safety and Tolerability of a Daily Subcutaneous Dose of Elamipretide in Older Adults","Aging, Healthy",PHASE2,small_molecule
NCT02703480,"Comparison of d-PTFE Membrane With Titanium-mesh in Vertical Ridge Augmentation: A Split Mouth, Randomized Controlled Clinical Trial",Vertical Alveolar Bone Loss,NA,biologic
NCT06617182,"Efficacy and Safety of Thalidomide Combined With Glutamine in the Treatment of Radiation Intestinal Injury: a Single-center, Open-label, Randomized Controlled Study",Radiation Enteritis,PHASE2,biologic
NCT06356974,"An Intervention Study to Evaluate the Impact of Treating gHAT Seropositive Subjects With Acoziborole on Transmission of T.b. Gambiense, and Obtain Further Safety Data on Acoziborole in gHAT Seropositive Individuals",Human African Trypanosomiasis,PHASE3,small_molecule
NCT07156656,"Assessment of the Efficacy of Sivelestat Sodium Treatment in Post-operative Organ Dysfunction in Patients With Acute Type A Aortic Dissection (STOP): a Multicenter, Double-blind RCT","Type A Aortic Dissection | Organ Failure, Multiple",PHASE4,small_molecule
NCT07179003,A Phase 2 Study of Methylene Blue Photodynamic Therapy for Treatment of Breast Abscesses,Breast Abscess,PHASE2,small_molecule
NCT06584799,Comparative Assessment of the Efficacy and Safety of Venoactive Drug Treatment of Pelvic Venous Disorders,Pelvic Venous Disorders,PHASE3,small_molecule
NCT07423923,Representation of Spatiotemporal Information in Human Episodic Memory and Navigation,Scopolamine or Placebo | Schema to Organize Memory or no Schema,EARLY_PHASE1,small_molecule
NCT06792019,A Phase IB/II Clinical Study to Assess the Safety and Preliminary Efficacy of CM313(SC) Injection in Subjects With Platelet Transfusion Refractoriness,Platelet Transfusion Refractoriness,PHASE1,biologic
NCT04935021,Clinical Study Protocol of Transthyroxine Protein Amyloidosis Cardiomyopathy and Its Gene Carriers,Transthyroxine Amyloidosis Cardiomyopathy,PHASE4,small_molecule
NCT05398289,Four-week Duration Versus 6-week Duration of Therapy for the Treatment of Enterococcal Endocarditis,Enterococcal Endocarditis,PHASE4,small_molecule
NCT07102524,A Phase 1/2 Open-Label Intrathecal Administration of TSHA-105 to Determine the Safety and Efficacy in 2 Subjects With SLC13A5 Citrate Transporter Disorder Caused by a Mutation in the SLC13A5 Gene,SLC13A5 Citrate Transporter Disorder,PHASE1,small_molecule
NCT04284397,Identification of Critical Thermal Environments for Aged Adults,Aging,EARLY_PHASE1,small_molecule
NCT05643534,"A 12-Week, Randomized, Double-Blind, Placebo-Controlled, Phase 3 Study to Assess the Safety and Efficacy of Tenapanor for the Treatment of Irritable Bowel Syndrome With Constipation (IBS-C) in Pediatric Patients 12 to Less Than 18 Years Old",Irritable Bowel Syndrome With Constipation (IBS-C),PHASE3,small_molecule
NCT03998735,Nornicotine in Smokeless Tobacco as a Precursor for Carcinogen Exposure,Smokeless Tobacco,PHASE1,small_molecule
NCT07251608,"Randomized, Open-Label, Safety Pilot Study of Multiple Subcutaneous and Intramuscular Injections of Niagen® Plus",Healthy Volunteer | Fatigue,PHASE1,small_molecule
NCT06435949,Effect of Propofol in Combination With Oxycodone on Anxiety State in Painless Abortion - A Multicenter Randomized Controlled Trial,Abortion Complication,EARLY_PHASE1,small_molecule
NCT06227585,Feasibility Study- REVEAL 475 System for Bevonescein-Assisted Intra-Operative Visualization of Nerves in Head and Neck Surgery,Head and Neck Surgery,PHASE2,small_molecule
NCT06007391,Pilot Study of Tolerance and Efficacy Nicotinamide (vitamin B3) in Dominant Optic Atrophy OPA1,Nicotinamide Adverse Reaction,PHASE2,small_molecule
NCT07031115,"Linperlisib in Acquired Pure Red Cell Aplasia: a Single-arm,Cphase II Prospective Clinical Study",Acquired Pure Red Cell Aplasia,PHASE2,small_molecule
NCT05707208,"A Randomized, Controlled Phase II Study of Repeat Dose ST-01 (Lidocaine Polymer Solution) vs Lidocaine for Spermatic Cord Block in Men With Chronic Scrotal Content Pain",Chronic Pain,PHASE2,small_molecule
NCT04181476,Efficacy Evaluation of Products Against Long Wavelength Ultraviolet A1 and Visible Light Induced Biological Effects,Sun Damaged Skin,PHASE2,small_molecule
NCT03660917,"Riluzole in Patients With Spinocerebellar Ataxia Type 7: a Randomized , Double-blind, Placebo-controlled Pilot Trial With a Lead in Phase",SCA7,PHASE2,small_molecule
NCT06357897,"Faculty of Medicine, Chulalongkorn University",Functional Constipation,NA,small_molecule
