nct_id,title,conditions,phase,modality
NCT07424378,Randomized Controlled Trial of Epoprostenol Versus Placebo in Addition to Standard Therapy for Severe Frostbite Injury,Frostbite,PHASE4,small_molecule
NCT04231266,"A Randomized, Double-Blind, Placebo-Controlled, Multi-Center Study to Evaluate the Efficacy of ManNAc in Subjects With GNE Myopathy",GNE Myopathy,PHASE2,small_molecule
NCT06984978,"AI-assisted, Village Doctors and Express Services-Involved, Community-Based Multicenter Cluster Randomized Controlled Trial for Fall Prevention Among Rural Older Adults",Falls | Falls Injury | Fall Prevention,NA,combination
NCT06952608,"The Effect of Ciprofol on Intraoperative Hypotension in Elderly Patients Receiving Renin-angiotensin System Inhibitors: a Prospective, Randomized Controlled Trial",Intraoperative Hypotension | Ciprofol | Renin-angiotensin System Inhibitors,PHASE4,small_molecule
NCT06752525,Opioid Sparing Effect of Sphenopalatine Ganglion Block in Functional Endoscopic Sinus Surgery: a Randomized Controlled Clinical Trial.,Sinus Surgery,PHASE4,small_molecule
NCT05638581,Trauma Resuscitation With Low-Titer Group O Whole Blood or Products,"Wounds and Injuries | Shock, Hemorrhagic",PHASE3,biologic
NCT06069687,A Phase 1 Open-label Intrathecal Administration of MELPIDA to Determine the Safety and Efficacy for Patients With Spastic Paraplegia Type 50 (SPG50) Caused by a Mutation in the AP4M1 Gene,Spastic Paraplegia Type 50,PHASE1,biologic
NCT06420167,DapagliFLOzin in Renal AL Amyloidosis (FLORAL),Renal AL Amyloidosis,PHASE2,small_molecule
NCT06253078,Ciprofol EC50 for Inducing Loss of Consciousness in Elderly Patients: an Exploratory Study Based on Dixon's Up-and-Down Method,Elderly Patients,PHASE4,small_molecule
NCT06091553,Comparison of the Efficacy and Safety of Duloxetine Augmented With Gabapentin and Duloxetine Augmented With Amitriptyline vs Duloxetine Alone in Chemotherapy -Induced Neuropathy: A Randomized Controlled Trial,Neuropathy in Cacer Patien,PHASE2,small_molecule
NCT06615206,"An Open-label, Multiple-dose Clinical Study to Evaluating the Safety, Tolerability and Preliminary Efficacy of a Single Intracerebroventricular Injection of HG204 for the Treatment of MECP2 Duplication Syndrome",MECP2 Duplication Syndrome,NA,gene_therapy
NCT07382167,"A 26-Week, Multi-Center, Randomized, Double-Blind, Placebo-Controlled Study to Assess the Safety and Efficacy of Tenapanor for the Treatment of Chronic Idiopathic Constipation (CIC) in Adults",Chronic Idiopathic Constipation (CIC),PHASE3,small_molecule
NCT06282211,"A Multicenter, Open-label, Randomized Controlled Clinical Study of the Efficacy and Safety of Ondansetron Oral Soluble Pellicles for the Prevention of Delayed Nausea and Vomiting Induced by Highly Emetogenic Chemotherapy",Nausea and Vomiting,PHASE3,small_molecule
NCT06828887,"Multicenter,Randomized,Double-blind,Placebo,Parallel-controlled,Dose-Finding Clinical Trial to Evaluate the Efficacy and Safety of LV232 Capsules in the Treatment of Major Depressive Disorder (MDD)",MDD,PHASE2,small_molecule
NCT07231965,Effects Of Cannabis Products On Blood Pressure Control,Blood Pressure,PHASE2,small_molecule
NCT06509451,Retention Rate of Giomer S-PRG Filler Containing Pit and Fissure Sealant Applied With or Without Etching by Using Split Mouth Technique: Randomized Clinical Trial,Caries Prevention,PHASE4,small_molecule
NCT05505110,MOdification Of THe Early-Life Respiratory Microbiome Through Vaginal SEEDing,C-section | Vaginal Seeding | Respiratory | Microbiome,EARLY_PHASE1,biologic
NCT06731361,Improving Medication Prescription in the contExt of Advance Care Planning for paTients Receiving Long Term nUrSing Home Care,Nursing Home Residents | Older People | Prescribing | Advance Care Planning | Medication Reviews | Decision Making | Prescribing Practices,NA,combination
NCT06527066,Effect of Aromatherapy for Facial Aesthetics in Alleviating Signs of Aging: Pilot Study,Aging Well,NA,combination
NCT07402252,"Effectiveness and Safety of a Type A Dissection Total Endovascular REconstruction System in Promoting Favorable Distal AOrtic ReModeling After Total Arch Replacement With Frozen Elephant Trunk for Type A Aortic Dissection: A Prospective, Multicenter, Randomized Controlled Trial",Residual Dissection After Repair for Type A Aortic Dissection,NA,small_molecule
NCT03880656,Autologous Bone Marrow Mononuclear Cell Administration for Lower Extremity Compartment Syndrome Injury,Compartment Syndrome Traumatic Lower Extremity,PHASE1,biologic
NCT06445959,Phase 1b/2 Study of Decitabine and Venetoclax in Combination With the Targeted Mutant IDH1 Inhibitor Olutasidenib,Mutant IDH1 Inhibitor Olutasidenib,PHASE1,oligonucleotide
NCT06067100,"Physiological Response to U-LABA/ICS With Emphasis on Exercise Performance, Indacaterol",Exercise Performance,NA,small_molecule
NCT03518099,Searching Biomarkers of Acute Intestinal Ischemic Injuries,Acute Mesenteric Ischemia,NA,biologic
NCT06186648,"A Phase 2 Study Evaluating the Bispecific CD3xCD20 Antibody GLOfitamab in Combination With Rituximab or Obinutuzumab Plus Cyclophosphamide, Doxorubicin, Vincristine and Prednisone (CHOP) in Patients With RIchter Syndrome as Frontline therapY. A FILO Study",Richter Syndrome,PHASE2,monoclonal_antibody
NCT06437808,Optimizing Football Training at Multan Sports Complex: Integrating Portable Force Plates for Advanced Performance Analysis,Injury;Sports,NA,combination
NCT06610760,"Efficacy and Safety of Ursodeoxycholic Acid in Reversing Gastric Intestinal Metaplasia: A Multicenter, Randomized, Placebo-Controlled Trial",Gastric Intestinal Metaplasia,PHASE4,small_molecule
NCT06152497,The Role of Histamine in Muscle Protein Synthesis Following Chronic Resistance Training,Histamine,NA,small_molecule
NCT07111247,Insights in Endocervical Mucus Secretion,Cervical Mucus,PHASE4,small_molecule
NCT04794101,Phase 3 Follow-up Study of AAV5-hRKp.RPGR for the Treatment of X-linked Retinitis Pigmentosa Associated With Variants in the RPGR Gene,X-Linked Retinitis Pigmentosa,PHASE3,biologic
NCT06187584,"Nonopioid Versus Opioid Outpatient Pain Management Following Surgical Fixation of Gartland Type III Supracondylar Humerus Fractures in Children: A Prospective, Randomized Study",Supracondylar Humerus Fracture,PHASE4,small_molecule
NCT07085806,Effect of Pentoxifylline on Liver Regeneration After Right Lobe Donor Hepatectomy: A Randomized Control Trial,Liver Regeneration,NA,small_molecule
NCT03675672,Prevention of Recurrent Ulcer Bleeding in Patients With Idiopathic Gastroduodenal Ulcer: a Double-blind Randomised Trial on Misoprostol Combined With Lansoprazole Versus Lansoprazole Alone (NRT_MISO Study),Active Peptic Ulcer Disease/GI Bleeding,PHASE4,small_molecule
NCT02019004,"Treatment of Forehead/Glabellar Rhytide Complex With Onabotulinum Toxin A Versus Incobotulinum Toxin A Injection: A Split-face, Double-blinded, Randomized Control Trial",Wrinkles,EARLY_PHASE1,biologic
NCT06435065,Histological and Radiographic Evaluation of the Effects of Direct Pulp Capping Agent on Human Pulp Tissue,Reversible Pulpitis,PHASE4,small_molecule
NCT06655012,The Muscle Anabolic Response to β2-adrenergic Stimulation,Healthy,NA,small_molecule
NCT06514209,Effect of Different Depths of Neuromuscular Blockade on Respiratory Mechanics in Patients With Moderate-severe Acute Respiratory Distress Syndrome,ARDS | Lung Protective Ventilation,NA,small_molecule
NCT03965988,Effect of Docosahexaenoic Acid on Breath Holding Spells in Children: A Randomized Controlled Trial,Breath Holding Attack,PHASE3,small_molecule
NCT06588036,A Comprehensive Analysis of the Comparative Efficacy of Multimodal Diarrhea Therapies,To Assess the Mean Time of Resolution of Diarrhea,EARLY_PHASE1,small_molecule
NCT07222176,"Synergistic Effects of P-TIOX and Tixel: A Split-Face, Prospective Study",Periocular Fine Wrinkles,NA,combination
NCT07102576,"A Phase 1, Open-Label Study to Assess Psychological and Biological Effects of MDMA Assisted Therapy When Administered to Mental Health Providers in Training to be MDMA-Assisted Therapists",Mental Wellbeing,PHASE1,small_molecule
NCT05517928,Exploratory Study of the Impact of Lactobacillus Rhamnosus GG on Proton Pump Inhibitor-Induced Gut Dysbiosis,Healthy,NA,small_molecule
NCT06836167,+ AGIL Barcelona: Integrated Care for Community-Dwelling Frail Older Adults,Frailty | Older Adults | Healthy Aging,NA,small_molecule
NCT06273111,A Pilot Study Using Topical Statins to Treat Children With Infantile Hemangioma,Hemangioma Skin,EARLY_PHASE1,small_molecule
NCT04927338,"Phase II, Placebo-controlled Study of BacoMind® Bacopa Monnieri Standardized Extract in Gulf War Illness",Gulf War Illness,PHASE2,other_drug
NCT07157657,Evaluation of the Efficacy of a Dermal Regeneration Matrix With Photosynthetic Microalgae for the Treatment of Patients With Full-Thickness Skin Wounds: Phase 2 Study,Cronic Full-thinkness Skin Wound | Acute Full-thickness Skin Wound,PHASE2,biologic
NCT06287905,A Comparative Study of Using Scorpion Antivenom Versus Scorpion Antivenom and Prazosin Drug for Scorpion Stings Management in Sohag University Hospitals,Morality,PHASE4,small_molecule
NCT07146594,Clinical Evaluation of a 14day Modified Bismuth Quadruple Therapy for the Eradication of H. Pylori in a High Clarithromycin and Metronidazole Resistance Area,Helicobacter Pylori Gastritis | Helicobacter Eradication,PHASE4,small_molecule
NCT05300477,Augmentation of Medical Readiness and Physical Performance at High Altitude Using Pharmacological Countermeasures,Hypobaric Hypoxia,PHASE4,biologic
NCT06100029,"The Effect of Lavender Essential Oil for Delirium in Elderly Intensive Care Unit Patients: Study Protocol for a Double Blind, Randomized, Placebo-controlled Trial",Delirium in Old Age,NA,small_molecule
NCT06224556,A Personalized Prevention Program (PPP) Based on the Comprehensive Geriatric Assessment (CGA) for the Prevention of Multidimensional Frailty Related to Non-communicable Chronic Diseases (NCDs) in Older People: a Practical Approach in Primary Care Setting,Older People | Non-Communicable Chronic Diseases,NA,combination
NCT07108777,Clinical Study to Evaluate the Possible Protective Effect of L-Carnitine Against Cisplatin-Induced Nephrotoxicity,Nephrotoxicity,PHASE2,small_molecule
NCT05538247,Effects of Saccharomyces Boulardii CNCM I-745 on Intestinal Barrier Function,Healthy,EARLY_PHASE1,small_molecule
NCT07266168,"Efficacy and Safety of Ivarmacitinib in the Treatment of Patients With Polymyalgia Rheumatica: A Multicenter, Randomized, Double-Blind, Placebo-Controlled Study",Polymyalgia Rheumatics (PMR),NA,small_molecule
